grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
Total,49756,26363,23393,4144,12952613.880206538,15.71900011379585,14.426726558841507,False,Binge mensual o más
Total,49756,11698,38058,627,5617217.469986256,5.359890579586254,4.511455645630202,False,Señales de dependencia (proxy)
Total,49756,26363,23393,990,12952613.880206538,3.7552630580738153,3.868234321153516,False,Lesiones por consumo
Total,49756,26363,23393,1799,12952613.880206538,6.823957819671509,6.246957160389285,False,Preocupación de otros
Total,49756,42441,7315,5331,19941371.659431804,12.560966989467731,14.311857038828922,False,Inicio temprano (≤14)
Total,49756,2411,47345,886,1150614.8719571119,36.748237245956034,36.64354521058722,False,Problema laboral (alcohol u otras)
Total,49756,17341,32415,801,8325275.147099533,4.619110777925148,4.6511272233453225,False,Alcohol en horario laboral
Total,49756,2644,47112,110,1205304.650002814,4.16036308623298,3.877559660798294,False,Ausencia por alcohol u otras
