grupo_edad,n_valido,peso_denominador,Sí,No
12–17,3559,3052407.999999999,33.85950586245542,66.14049413754456
18–25,8822,4315180.708982425,37.08039067482979,62.919609325170214
26–35,11341,5153800.066439215,35.11002133133846,64.88997866866156
36–45,9252,4365707.392484027,33.17338767775718,66.82661232224282
46–55,8445,3674846.1860448373,34.52254574895685,65.47745425104314
56–65,8337,3185420.6460494874,29.37109093736115,70.62890906263885
