grupo_edad,n_valido,peso_denominador,Sí,No
12–17,1112,975508.7378872223,7.698241404913207,92.3017585950868
18–25,5765,2872494.871725959,6.83034367057882,93.16965632942117
26–35,7282,3409601.5013435045,7.18768267967167,92.81231732032833
36–45,5370,2649577.117498944,4.592413672778962,95.40758632722104
46–55,3991,1849754.4899206113,5.5365485277362545,94.46345147226374
56–65,2843,1195677.1618302965,5.7442359745012865,94.25576402549872
