grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,405,368999.55145548104,0.0,3.0451037215385663,0.326401871800473,27.669795873550406,68.95869853311056
18–25,3329,1673150.2386490186,0.09546510176953155,5.040396631116032,2.3912305437741446,42.85301322768104,49.61989449565926
26–35,4188,2004341.1169612394,0.14310829485874463,2.99542630600337,1.5580778908037738,45.034092950465684,50.269294557868434
36–45,2955,1466653.186832367,0.14952165592810332,1.7404957863381156,1.3992709934325334,45.68925081493587,51.021460749365374
46–55,2173,1006859.7432091217,0.0,1.4200576127259221,0.5108681509782732,45.21047752223192,52.858596714063886
56–65,1486,626907.1603968842,0.03541427065525817,0.8576197046142566,1.0052895713238867,43.933608515077296,54.1680679383293
