grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,405,368999.55145548104,0.0,1.7245122082452875,0.9658061347540761,25.657955665470894,71.65172599152974
18–25,3329,1673150.2386490186,0.1874773931999918,1.6014536269049293,1.4244776639669259,36.73738659339831,60.04920472252985
26–35,4188,2004341.1169612396,0.10376002574127081,1.388191448162536,0.680306428224445,37.896978540692075,59.93076355717967
36–45,2955,1466653.186832367,0.051759478703692914,0.9212120017353838,0.7693594473933281,41.05549521040508,57.2021738617625
46–55,2173,1006859.7432091217,0.017305689043113692,0.9315269576874334,0.8375859953587304,38.84059254378877,59.37298881412194
56–65,1486,626907.1603968842,0.177024482266706,0.577721060685129,0.732470788331703,36.221187501403755,62.29159616731271
