grupo_edad,n_valido,peso_denominador,1 o 2,3 o 4,5 o 6,"7, 8 o 9",10 o más
12–17,1112,975508.7378872226,58.35380595760237,20.901124198661275,9.608522571495305,3.9861273788574727,7.150419893383568
18–25,5765,2872494.871725959,28.805380322139257,31.507459731163127,18.136406441140764,8.529598468748313,13.021155036808546
26–35,7282,3409601.5013435055,28.970530949278718,32.03380018021914,17.723575248729176,8.061468088924059,13.210625532848896
36–45,5370,2649577.1174989436,33.67808076909591,32.123960133153595,16.97237464406425,7.030485401743354,10.195099051942922
46–55,3991,1849754.4899206115,34.3026091126223,29.923071247543493,16.997802065262185,7.940210938169612,10.836306636402398
56–65,2843,1195677.1618302967,40.305971609149616,30.212941852899057,12.820327672590787,6.978104272732501,9.68265459262803
