grupo_edad,n_valido,peso_denominador,Sí,No
12–17,62,63157.252109318564,7.626055365715686,92.37394463428431
18–25,2793,1387566.2928555508,4.793010217422499,95.2069897825775
26–35,5571,2622669.4228605395,4.539754142761518,95.46024585723849
36–45,4292,2126341.560177698,4.423666786984788,95.5763332130152
46–55,3019,1433379.822151148,4.835638558841136,95.16436144115886
56–65,1604,692160.7969452793,4.833914489832076,95.16608551016792
