grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,indicador
Planta / conexión irregular,71,31,40,2,13640.39703814023,6.451612903225806,3.1201326617223435,False,Alcohol en horario laboral
Sin información,171,44,127,4,11330.375263509437,9.090909090909092,0.7924502370247429,False,Alcohol en horario laboral
1,14460,784,13676,44,247444.4546419388,5.612244897959184,5.832544867661308,False,Ausencia por alcohol u otras
2,17380,987,16393,29,504444.148119601,2.9381965552178317,3.1601107105552524,False,Ausencia por alcohol u otras
3,12834,665,12169,25,355728.5528140573,3.7593984962406015,3.7188212221601247,False,Ausencia por alcohol u otras
4,3038,126,2912,5,62621.69620768338,3.968253968253968,1.2498312441328308,False,Ausencia por alcohol u otras
5,1128,48,1080,3,23389.469642248576,6.25,1.5009882419225946,False,Ausencia por alcohol u otras
6,628,21,607,2,8576.224876660312,9.523809523809524,3.439769214873814,True,Ausencia por alcohol u otras
No sabe / no responde,46,3,43,0,103.16658386527494,0.0,0.0,True,Ausencia por alcohol u otras
Planta / conexión irregular,71,1,70,0,157.0120501137888,0.0,0.0,True,Ausencia por alcohol u otras
Sin información,171,9,162,2,2839.9250666455064,22.22222222222222,60.05280043519848,True,Ausencia por alcohol u otras
