grupo_edad,n_valido,peso_denominador,Nunca,Menos de una vez al mes,Mensualmente,Semanalmente,A diario o casi a diario
12–17,319,269082.9347585932,93.37922091109093,4.223448994990431,1.4303118055268174,0.4637086162961501,0.5033096720956625
18–25,2835,1400511.1346813068,84.82484262821258,11.614472943932808,2.466135957407258,0.7424017564847113,0.35214671396262454
26–35,3484,1632923.9174679094,84.86712816644835,11.183285501534044,2.347873575518728,1.4341064087060578,0.1676063477928259
36–45,2304,1109240.1706251204,86.47511097389437,9.713366705431572,2.6031286537366203,0.7551586551488785,0.4532350117885572
46–55,1667,772930.0943829011,87.74204373072297,8.288482185020081,2.446338344199667,0.6567838249939002,0.8663519150633672
56–65,1089,432529.2180704259,88.16672798517338,8.040111034376162,1.9932010271567497,0.795473963734379,1.0044859895593443
