grupo_edad,n_valido,peso_denominador,Uno,Dos o más
12–17,979,803749.0461426945,18.53934144342089,81.4606585565791
18–25,4568,2226343.531996757,12.268136490617447,87.73186350938255
26–35,5442,2454452.7071611136,13.531959324813759,86.46804067518624
36–45,4001,1835435.3958479704,13.04902953628995,86.95097046371004
46–55,3467,1530176.4282085537,12.702698960955185,87.29730103904481
56–65,2670,1055888.1526964107,14.945224871831803,85.05477512816819
