grupo_edad,n_valido,peso_denominador,Uno,Dos o más
12–17,1242,1033530.265706058,39.493234893267285,60.506765106732715
18–25,3267,1600085.8652155735,35.26706012965167,64.73293987034833
26–35,4086,1809500.3027013438,35.82945138440495,64.17054861559505
36–45,3095,1448253.0381852305,38.62707603654085,61.372923963459144
46–55,2828,1268650.455781125,37.82230227472175,62.17769772527825
56–65,2422,935592.7946886722,42.855791250710865,57.144208749289135
