codigo_original,n,porcentaje_total
,35220,70.78543291261356
0.0,10870,21.846611463944047
1.0,2185,4.391430179274861
2.0,791,1.5897580191333707
3.0,234,0.47029503979419574
4.0,231,0.4642656162070906
5.0,71,0.14269635822815338
6.0,48,0.09647077739368116
8.0,34,0.06833346732052416
10.0,27,0.054264812283945654
15.0,14,0.028137310073157007
30.0,9,0.01808827076131522
20.0,9,0.01808827076131522
7.0,5,0.010049039311841788
12.0,3,0.006029423587105073
9.0,2,0.004019615724736715
28.0,1,0.0020098078623683575
26.0,1,0.0020098078623683575
25.0,1,0.0020098078623683575
