codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Diariamente,42,15423.724944190504,0.28893780957622456,0.21580966867471657
2,Fines de semana,762,434557.254698215,5.242157402311502,6.080350725648798
3,Algunos días de la semana,438,240295.55519189694,3.013208585580627,3.3622295740889236
4,No en últimos 30 días,7086,3459071.0549277347,48.74793615850303,48.39952611884677
5,Nunca,6208,2997563.4077420747,42.70776004402862,41.9420839127408
