grupo_edad,n_valido,peso_denominador,Nunca,Menos de una vez al mes,Mensualmente,Semanalmente,A diario o casi a diario
12–17,319,269082.9347585932,88.38735415057396,10.172152650913857,1.4404931985121818,0.0,0.0
18–25,2835,1400511.1346813065,86.1799316889335,11.691693920340928,1.5395140597213939,0.48689312592433437,0.10196720507987035
26–35,3484,1632923.9174679094,87.97634367588611,10.016771268127554,1.2687190209113723,0.5526400760924332,0.1855259589825241
36–45,2304,1109240.1706251204,89.90946869131386,7.255241468194372,2.0878139512550353,0.4890346716510968,0.2584412175856305
46–55,1667,772930.094382901,88.44583680487565,8.648598000161972,1.9577602725560597,0.8550802431518092,0.09272467925451511
56–65,1089,432529.21807042597,87.95417944571187,8.540537755155599,1.9808973111173862,1.2984371309715677,0.22594835704357347
