grupo_edad,n_valido,peso_denominador,Al menos semanal,Al menos mensual,Al menos una vez en el embarazo
12–17,7,1926.8515473733362,0.0,54.289174118999654,45.710825881000346
18–25,189,63388.064957052,10.834370025645738,28.48701956303257,60.678610411321685
26–35,346,121688.2789610338,8.69226560001833,21.76160539400464,69.54612900597702
36–45,209,93272.78448280807,12.00870684648888,17.303861224410998,70.68743192910011
46–55,189,69328.67848176438,18.912850427916673,23.411390605457385,57.675758966625935
56–65,196,61753.02959966173,14.571709900978819,26.19997956063183,59.22831053838935
