edad,n,media,mediana,media_ponderada,peso_denominador
12–17,1642,13.844701583434835,14.0,13.888576419639866,1413271.5162878465
18–25,7786,16.411507834574877,17.0,16.42834694203653,3828464.4270603308
26–35,10400,17.39798076923077,17.0,17.30068904945907,4765268.478774071
36–45,8364,18.297106647537063,18.0,18.084323278206018,3978841.670619293
46–55,7347,19.601742207703825,18.0,19.51198351975433,3255821.4157292265
56–65,6902,20.388148362793395,19.0,19.990485902336026,2699704.1509610354
