codigo_original,n,porcentaje_total
,35220,70.78543291261356
4.0,6786,13.638556154031676
5.0,4930,9.908352761476003
2.0,2205,4.431626336522228
3.0,592,1.1898062545220678
1.0,23,0.04622558083447222
