codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Nunca,10459,5056816.840848914,89.40844588818601,90.0235190798352
2,Menos de una vez al mes,958,440338.3809896682,8.189434091297658,7.839083733938923
3,Mensualmente,171,75468.53591027966,1.4617883398871603,1.343521704714493
4,Semanalmente,88,33061.037043813296,0.7522653445033339,0.5885660866872968
5,A diario o casi a diario,22,11532.675193581492,0.18806633612583348,0.20530939482408375
