grupo,n_base,n_valido,n_desconocido,n_positivo,peso_denominador,porcentaje_muestral,porcentaje_ponderado,n_menor_30,ventana
Total,49756,49756,0,42441,23747362.999999993,85.29825548677546,83.97299379906649,False,Vida
Total,49756,49704,52,26363,23723561.720595445,53.03999678094319,54.598099698334146,False,12 meses
Total,49756,49690,66,14536,23713960.75198113,29.25337089957738,30.1379894832922,False,30 días
