codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Nunca,11071,5332221.138591639,94.64010942041375,94.92637888923828
2,Menos de una vez al mes,435,214175.56258593322,3.718584373397162,3.8128408545745196
3,Mensualmente,111,37557.332003469965,0.948880150453069,0.6686109662683551
4,Semanalmente,68,28221.855804561554,0.5812959480253035,0.5024170054899192
5,A diario o casi a diario,13,5041.581000653611,0.11113010771071978,0.08975228442893
