grupo_edad,n_valido,peso_denominador,Últimos 12 meses,Hace más de 12 meses
12–17,106,75097.01756858041,89.6335088873771,10.366491112622885
18–25,453,196201.27165863523,74.64730500444668,25.35269499555333
26–35,496,245071.33655789227,70.94163944530027,29.058360554699735
36–45,321,121679.54181484421,67.45098719688659,32.54901280311342
46–55,236,102412.55497843486,68.64296878176715,31.357031218232844
56–65,187,68682.51766875185,66.75430373795803,33.24569626204197
