grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,405,368999.5514554811,0.0,9.097933028486068,3.5817290736322427,35.08730390667802,52.23303399120366
18–25,3329,1673150.2386490186,0.10574221533205498,5.566675522804452,3.3000214080766206,49.255481501649186,41.772079352137695
26–35,4188,2004341.1169612394,0.25748756072069445,5.381980092128369,2.7182541155688136,49.649649487200676,41.992628744381456
36–45,2955,1466653.186832367,0.20501745974584434,6.3976286909176645,3.6279256972583553,49.91598435172905,39.85344380034908
46–55,2173,1006859.7432091217,0.18183511362261998,5.5566370488758,3.4420617982148958,49.98934168144354,40.83012435784314
56–65,1486,626907.1603968842,0.583156539175542,8.006810978736874,4.708156077410597,43.85267872988876,42.84919767478823
