codigo_original,n,porcentaje_total
,35220,70.78543291261356
1.0,6526,13.1160061098159
2.0,3793,7.62320122196318
4.0,1533,3.081035453010692
3.0,1363,2.7393681164080714
5.0,367,0.7375994854891872
6.0,207,0.41603022751025
8.0,187,0.37583407026288285
10.0,139,0.2793632928692017
15.0,104,0.20902001768630918
30.0,84,0.16882386043894204
7.0,54,0.10852962456789131
20.0,51,0.10250020098078623
99.0,35,0.07034327518289252
12.0,34,0.06833346732052416
9.0,23,0.04622558083447222
18.0,4,0.00803923144947343
28.0,4,0.00803923144947343
13.0,3,0.006029423587105073
11.0,3,0.006029423587105073
16.0,3,0.006029423587105073
25.0,3,0.006029423587105073
19.0,3,0.006029423587105073
17.0,2,0.004019615724736715
22.0,2,0.004019615724736715
29.0,2,0.004019615724736715
23.0,2,0.004019615724736715
26.0,2,0.004019615724736715
24.0,2,0.004019615724736715
27.0,1,0.0020098078623683575
