grupo_edad,n_valido,peso_denominador,Nunca,Menos de una vez al mes,Mensualmente,Semanalmente,A diario o casi a diario
12–17,1112,975508.7378872224,72.41614305358466,21.377571986461554,4.395957974060184,1.8103269858936024,0.0
18–25,5765,2872494.8717259592,51.24408581311758,31.937205564879523,12.75647460658578,3.8491943122973145,0.21303970311979575
26–35,7282,3409601.501343505,52.10807137360541,30.476902557434126,13.07519808279115,4.193944724272624,0.1458832618966801
36–45,5370,2649577.1174989445,58.13519964000208,29.48434164143296,9.594638292701102,2.6901479328504703,0.09567249301337971
46–55,3991,1849754.4899206115,58.214449615090594,27.872762821179954,9.534068431647444,4.258851484816651,0.11986764726534932
56–65,2843,1195677.1618302967,63.825585042677666,23.97935157011944,7.446742417403403,4.528944350990995,0.21937661880848852
