codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Ningún riesgo,200,107740.24370552933,0.40196157247367154,0.4536935056979985
2,Riesgo leve,1552,800501.9339235143,3.119221802395691,3.3709087359447647
3,Riesgo moderado,5279,2891166.4573730864,10.60977570544256,12.174684226510065
4,Gran riesgo,41730,19532871.50683886,83.86928209663157,82.25280216097624
5,No sabe qué riesgo corre,995,415082.8581589985,1.9997588230565158,1.7479113708709413
