grupo_edad,n_valido,peso_denominador,Sí,No
12–17,3559,3052407.999999999,67.90967991951646,32.09032008048353
18–25,8822,4315180.708982425,70.70703821504664,29.292961784953363
26–35,11341,5153800.066439215,71.21198231636419,28.788017683635807
36–45,9252,4365707.392484027,70.62370672499631,29.37629327500369
46–55,8445,3674846.1860448373,70.636379468762,29.363620531238
56–65,8337,3185420.6460494874,66.07159136329116,33.928408636708845
