grupo_edad,n_valido,peso_denominador,Ningún riesgo,Riesgo leve,Riesgo moderado,Gran riesgo,No sabe qué riesgo corre
12–17,3559,3052407.999999999,0.7140587760931261,5.949567239107164,16.78215969307533,72.64071303228023,3.9135012594441485
18–25,8822,4315180.708982425,0.5059082029558448,4.4014652529550435,15.631982445734153,77.78817265782436,1.6724714405306036
26–35,11341,5153800.066439215,0.4289109430635594,3.094480054834831,13.442310333948374,81.69009822749359,1.3442004406596464
36–45,9252,4365707.392484027,0.3869035454873528,2.70525224322158,10.393084381676967,85.28250102774903,1.2322588018650609
46–55,8445,3674846.1860448373,0.32401861335089577,2.247584371302326,9.174030091438118,87.09872831239691,1.1556386115117392
56–65,8337,3185420.646049488,0.4146996575203797,2.159328856369993,6.928605635521504,88.67925402628383,1.8181118243042855
