grupo_edad,n_valido,peso_denominador,Sí,No
12–17,9,9928.126355582923,20.163996630365624,79.83600336963438
18–25,486,240982.47793643552,4.85971929360386,95.14028070639614
26–35,783,344843.3969242,3.9391326720633932,96.06086732793662
36–45,630,304149.43471832183,3.5260574939130795,96.47394250608691
46–55,444,189924.45131902426,1.9760679257740115,98.02393207422598
56–65,292,115476.7627492494,4.297028012240524,95.70297198775948
