codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Diariamente,23,9389.6130354299,0.15822784810126583,0.13138001912587127
2,Fines de semana,2205,998484.0488379663,15.169235002751789,13.970847673724537
3,Algunos días de la semana,592,296632.6277039269,4.072647220693451,4.150501213846356
4,No en últimos 30 días,6786,3334048.583857205,46.68409466153,46.65020433333425
5,Nunca,4930,2508356.1240695836,33.9157952669235,35.09706675996899
