grupo_edad,n_valido,peso_denominador,Grave,Leve
12–17,2198,2022133.5742730498,66.2978235564356,33.7021764435644
18–25,5759,2978499.2226523208,65.96394330932058,34.03605669067943
26–35,7496,3617426.8453081157,69.56128809851295,30.438711901487064
36–45,5978,3041975.239570513,73.96675865601276,26.03324134398724
46–55,5386,2557503.467811317,74.80304786432485,25.196952135675144
56–65,4881,2074733.0573910214,77.59349907405164,22.406500925948365
