codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Al menos semanal,122,50756.52277026141,10.73943661971831,12.338780639635843
2,Al menos mensual,284,94134.647375966,25.0,22.88389159002931
3,Al menos una vez en el embarazo,730,266466.5178834659,64.2605633802817,64.77732777033485
