grupo_edad,n_valido,peso_denominador,Sí,No
12–17,1102,965098.7545203712,0.26589182283317975,99.73410817716682
18–25,5750,2868356.5835647997,0.26975872046147076,99.73024127953852
26–35,7243,3398974.748988551,0.23999241197970922,99.7600075880203
36–45,5345,2643233.028497829,0.24701446191056722,99.75298553808943
46–55,3968,1842218.954082353,0.19835305327454497,99.80164694672546
56–65,2827,1191048.487818976,0.16561258436127338,99.83438741563873
