grupo_edad,n_valido,peso_denominador,Nunca,Menos de una vez al mes,Mensualmente,Semanalmente,A diario o casi a diario
12–17,319,269082.9347585932,90.80698840312633,7.075389454996488,0.32296021312398016,0.8225533840118886,0.9721085447413227
18–25,2835,1400511.1346813065,89.16003504516785,8.499334100587582,1.6463151183442624,0.5188069299945768,0.17550880590574647
26–35,3484,1632923.9174679096,89.39122593873127,8.321027172617574,1.3886318546680738,0.7044594788897558,0.19465555509332472
36–45,2304,1109240.1706251204,91.49878558283666,6.665093884818105,1.2112350284558446,0.374651090933521,0.25023441295586907
46–55,1667,772930.094382901,89.41504220212431,8.164648204266225,1.5333948424132604,0.8597610713043954,0.02715367989180831
56–65,1089,432529.2180704259,92.02308942145643,6.785814457756835,0.827643779262945,0.29531361185331934,0.06813872967047988
