grupo_edad,n_valido,peso_denominador,Sí,No
12–17,72,54959.885419914055,3.5059235161272095,96.49407648387279
18–25,2109,808640.046515848,7.838848104316548,92.16115189568346
26–35,5191,2023178.193518644,6.014708904577386,93.98529109542262
36–45,4612,2064788.2880367585,4.517304995539939,95.48269500446006
46–55,4542,1825102.6369694727,3.7986180654958965,96.2013819345041
56–65,4732,1607084.6933619198,3.84254979558534,96.15745020441466
