codigo,respuesta,n,peso,porcentaje_muestral,porcentaje_ponderado
1,Diariamente,16,6757.648902277696,0.1100715465052284,0.09455342181590959
2,Fines de semana,1374,683253.6203820878,9.45239405613649,9.560124935383941
3,Algunos días de la semana,392,222114.1753789492,2.6967528893780957,3.10783463592197
4,No en últimos 30 días,6923,3371930.7855700804,47.62658227848101,47.180254332922935
5,Nunca,5831,2862854.7672707173,40.11419922949917,40.05723267395523
