grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,405,368999.55145548104,0.0,6.587602413448819,2.5684455013204053,28.532801113697897,62.31115097153288
18–25,3329,1673150.2386490186,0.18182764478460112,10.821150537518132,3.4346922825808868,46.76373595317603,38.79859358194035
26–35,4188,2004341.1169612396,0.12706490777121812,9.643767702954499,2.338674323020136,48.753758921987405,39.13673414426675
36–45,2955,1466653.186832367,0.030890102330268485,8.762765969999855,2.8634358708467755,49.49012942290595,38.85277863391715
46–55,2173,1006859.7432091217,0.0010247363770721236,8.709250386221688,3.5790299538628654,48.43514366750405,39.275551256034326
56–65,1486,626907.1603968842,0.11249141088179127,10.908787070812863,4.827120582584308,46.81764328798083,37.33395764774021
