grupo_edad,n_valido,peso_denominador,Nunca,Menos de una vez al mes,Mensualmente,Semanalmente,A diario o casi a diario
12–17,319,269082.9347585932,90.05604212078842,6.940451601616685,1.653253598101823,1.2212229164423878,0.12902976305068145
18–25,2835,1400511.1346813068,90.64588620416527,5.9955626762286265,2.0895380335107965,0.902229030452275,0.36678405564302674
26–35,3484,1632923.9174679096,87.76868654928826,8.057956855281878,2.815931672586327,0.97238978757894,0.38503513526458216
36–45,2304,1109240.1706251202,89.55410133535861,7.012512734865465,1.9211434902856297,1.1856715326678144,0.3265709068225132
46–55,1667,772930.0943829011,88.2928707243731,7.207987430723859,2.6300787913672536,1.4784141982120558,0.39064885532373306
56–65,1089,432529.21807042597,89.5162199905471,6.857812374168172,1.9613543469125325,1.1723679458705454,0.49224534250165586
