grupo_edad,n_valido,peso_denominador,Últimos 12 meses,Hace más de 12 meses
12–17,19,10377.633780613276,78.50696250025555,21.493037499744457
18–25,272,142374.5269724325,45.50031928158241,54.49968071841761
26–35,306,153487.08958128231,24.92492745109132,75.07507254890868
36–45,187,108575.64937448691,26.797478013347487,73.2025219866525
46–55,123,55512.117215089675,31.30132131783732,68.69867868216268
56–65,83,30710.43867673879,32.46075570803752,67.53924429196249
