edad,n,media,mediana,media_ponderada,peso_denominador
12–17,405,1.7728395061728395,1.0,1.8395773688522643,368999.5514554811
18–25,3315,2.635294117647059,2.0,2.698515107744952,1670486.9265615423
26–35,4180,2.5004784688995216,2.0,2.48288367923076,2003026.5445623663
36–45,2948,2.435549525101764,2.0,2.3109583949344565,1464833.7107427784
46–55,2170,2.6548387096774193,2.0,2.5525630280416456,1006665.0140628109
56–65,1483,2.890761968981794,2.0,2.896220457053634,625935.3022588792
