grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,405,368999.55145548104,0.0,0.3885963521555911,0.48043140754476416,16.062325785966706,83.06864645433294
18–25,3329,1673150.2386490186,0.09546510176953155,0.46190563349482133,0.3331388367048541,18.58486697360294,80.52462345442785
26–35,4188,2004341.1169612394,0.18319998118115832,0.2815657347748353,0.16423359941199214,19.390259033424257,79.98074165120777
36–45,2955,1466653.1868323667,0.0319822220550526,0.03937662666162762,0.0526250051283225,19.33600273812265,80.54001340803234
46–55,2173,1006859.7432091216,0.041996614705088635,0.02083695008725341,0.2163643540916357,18.839673813254265,80.88112826786175
56–65,1486,626907.1603968842,0.0,0.0,0.3406441948628005,17.809964994878246,81.84939081025895
