grupo_edad,n_valido,peso_denominador,Diariamente,Fines de semana,Algunos días de la semana,No en últimos 30 días,Nunca
12–17,15,14602.098389102312,0.0,45.33316372493558,1.8830912784909066,52.78374499657351,0.0
18–25,148,89433.9044183805,0.8098235990812808,19.489250989199462,6.433295865872289,73.26762954584697,0.0
26–35,181,109167.90091050541,0.8961972933526342,13.484175489642144,12.643607080259777,72.97602013674545,0.0
36–45,116,63046.428711962275,0.0,10.837327621444437,4.986208399581249,84.17646397897431,0.0
46–55,88,41677.734939767746,3.8730797057419997,18.586998436461275,2.5016126366292224,75.0383092211675,0.0
56–65,76,31700.420334833012,0.196525056480724,20.049066395352536,4.255137386909617,75.49927116125713,0.0
